pt_0,"Apesar de geralmente não ter nenhum poder, ainda há uma pequena probabilidade de matar o outro."
pt_1,NULL
pt_2,"Adaga de Novato. Uma boa adaga para iniciantes."
pt_3,"A Adaga de Mithril tem poderes mágicos que ajudam a recuperar seu MP."
pt_4,"A adaga feita de Oricalco não pode ser danificada."
pt_5,NULL
pt_6,NULL
pt_7,NULL
pt_8,"A Espada de Bran foi amaldiçoada por alguém"
pt_9,NULL
pt_10,"Esta espada tem uma taxa de acerto maior que outras espadas e pode perfurar armaduras inimigas."
pt_11,"A Espada de Elfo foi criada pelo ancião mais honrado dos Elfos. "
pt_12,"Esta é uma espada longa especial que aumenta o poder."
pt_13,NULL
pt_14,NULL
pt_15,"Esta Espada de Mão Única de Novato é ótima para iniciantes."
pt_16,"Uma espada especial com forte resistência a danos. "
pt_17,NULL
pt_18,"O Shamshir é feito de Oricalco, um metal lendário indestrutível."
pt_19,NULL
pt_20,NULL
pt_21,NULL
pt_22,"A Espada de Duas Mãos de Novato é boa para iniciantes."
pt_23,NULL
pt_24,NULL
pt_25,NULL
pt_26,"O cajado usado por Bran pode invocar um relâmpago para destruir seus inimigos."
pt_27,NULL
pt_28,"A espada foi usada pelo Cavaleiro da Morte para caçar dragões. Ela carrega ressentimento em sua lâmina."
pt_29,"A espada do demônio reduzirá o HP constantemente, mas suas ações serão mais rápidas."
pt_30,NULL
pt_31,NULL
pt_32,NULL
pt_33,"A garra é feita de bronze inferior."
pt_34,NULL
pt_35,"A garra é feita de um metal resistente e é muito forte."
pt_36,NULL
pt_37,NULL
pt_38,NULL
pt_39,NULL
pt_40,NULL
pt_41,NULL
pt_42,NULL
pt_43,NULL
pt_44,NULL
pt_45,NULL
pt_46,NULL
pt_47,NULL
pt_48,NULL
pt_49,"A Lança de Novato é boa para iniciantes."
pt_50,NULL
pt_51,NULL
pt_52,NULL
pt_53,NULL
pt_54,NULL
pt_55,"A Espada de Elfo foi criada pelo ancião mais honrado dos Elfos, melhorando seu nível de destreza. "
pt_56,"O Arco de Elfo foi criado pelo ancião mais honrado dos Elfos, melhorando seu nível de destreza. "
pt_57,NULL
pt_58,NULL
pt_59,NULL
pt_60,NULL
pt_61,NULL
pt_62,NULL
pt_63,NULL
pt_64,"Um cajado que recupera rapidamente seu MP."
pt_65,"O Cajado de Novato é bom para iniciantes."
pt_66,"O cajado está infundido com a magia de Beleth. Ele aumenta o SP e a velocidade de recuperação do seu MP."
pt_67,"O cajado com a magia de Baphomet tem o poder da escuridão que causa um grande dano ao inimigo."
pt_68,"Aumenta o SP."
pt_69,"Este cajado mágico extrai o MP do oponente durante o ataque."
pt_70,"Aumenta o dano contra ataques mágicos."
pt_71,"Isto diminui seus pontos de magia, mas aumenta seu dano de ataque."
pt_72,"O Machado de Novato é ótimo para iniciantes."
pt_73,"A Besta de Pedra de Novato é boa para iniciantes."
pt_74,"O Arco de Novato é ótimo para iniciantes."
pt_75,"Não é possível lançar magia usando isto."
pt_76,"A Espada de Elfo foi criada pelo ancião mais honrado dos Elfos, aumentando seu SP."
pt_77,"A Espada de Elfo foi criada pelo ancião mais honrado dos Elfos, aumentando seu HP."
pt_78,"Este elmo mágico dá a você habilidade para gastar apenas a metade do MP necessário para lançar encantos"
pt_79,"Este elmo aumenta a MR. Quanto maior o número de encantos lançados, maior o poder de resistência."
pt_80,"Um elmo especial para Cavaleiros que o permite usar Cura Inferior e Cura, e reduzir o custo do MP pela metade."
pt_81,"Um elmo especial para Cavaleiros que o permite usar Encantamento de Destreza e Aceleração, e reduzir o custo do MP pela metade."
pt_82,"Um elmo especial para Cavaleiros que o permite usar Detecção e Encantamento Poderoso, e reduzir o custo do MP pela metade."
pt_83,"O Capuz com a magia de Svipdag aumenta a inteligência."
pt_84,"Apenas Príncipes e Princesas podem usá-lo. Ele aumenta a inteligência e o carisma. Quando o detentor morre, ele cai da cabeça."
pt_85,"O Capuz com a magia de Sauroner aumenta a velocidade de recuperação do MP. "
pt_86,"O Elmo de Couro de Novato é bom para iniciantes"
pt_87,"O capuz com a magia de Skuld aumenta o MP máximo e a velocidade de recuperação do MP."
pt_88,"O Elmo dos Elfos Antigos aumenta a destreza. "
pt_89,"Isto o permite enxergar no escuro. "
pt_90,"O capuz com a magia de Endor aumenta o MP máximo"
pt_91,"O Elmo de Bran foi amaldiçoado por alguém."
pt_92,"Com o misterioso poder da Formiga Rainha, a MR e o HP máximo são aumentados."
pt_93,"Com o misterioso poder da Formiga Rainha, a MR e o HP máximo são aumentados."
pt_94,"O Manto da Terra tem uma maior resistência contra ataques da Terra."
pt_95,"Este manto dá a você uma taxa rápida de recuperação de MP"
pt_96,"Este manto aumenta a resistência contra mágica. Ao fazer um feitiço, a força de resistência fica mais forte."
pt_97,"O Manto da Água tem uma maior resistência contra ataques de água."
pt_98,"O Manto do Vento tem uma maior resistência contra ataques de vento."
pt_99,"O Manto do Fogo tem uma maior resistência contra ataques de fogo."
pt_100,". Este manto aumenta a velocidade de recuperação do HP dos Elfos."
pt_101,"O manto é feito de prata e tem uma maior resistência contra encantos."
pt_102,"Torne-se invisível aos monstros e aos outros jogadores depois de vesti-lo. Só funciona quando nenhum ataque é feito."
pt_103,"O Gibão de Novato é uma boa proteção para iniciantes."
pt_104,"Ele pode ser usado por baixo da armadura."
pt_105,"Esta cota de malha tem resistência contra mágica. Quanto maior o número de feitiços feitos, maior o poder de resistência."
